episodes,eval successes,eval total reward,goals,steps
367.0,0.6321525885558583,232.0,18,10000
351.0,0.6381766381766382,224.0,18,20000
369.0,0.6233062330623306,230.0,18,30000
370.0,0.6378378378378379,236.0,18,40000
355.0,0.6225352112676056,221.0,18,50000
362.0,0.5966850828729282,216.0,18,60000
361.0,0.6481994459833795,234.0,18,70000
365.0,0.6383561643835617,233.0,18,80000
359.0,0.6601671309192201,237.0,18,90000
365.0,0.6438356164383562,235.0,18,100000
385.0,0.6311688311688312,243.0,18,110000
360.0,0.5972222222222222,215.0,18,120000
336.0,0.6101190476190477,205.0,18,130000
369.0,0.5826558265582655,215.0,18,140000
345.0,0.5855072463768116,202.0,18,150000
340.0,0.6441176470588236,219.0,18,160000
366.0,0.6092896174863388,223.0,18,170000
378.0,0.5925925925925926,224.0,18,180000
343.0,0.6326530612244898,217.0,18,190000
347.0,0.6080691642651297,211.0,18,200000
390.0,0.6025641025641025,235.0,18,210000
378.0,0.6296296296296297,238.0,18,220000
402.0,0.5870646766169154,236.0,18,230000
319.0,0.6050156739811913,193.0,18,240000
388.0,0.6056701030927835,235.0,18,250000
365.0,0.5972602739726027,218.0,18,260000
379.0,0.6094986807387863,231.0,18,270000
370.0,0.5864864864864865,217.0,18,280000
411.0,0.6301703163017032,259.0,18,290000
378.0,0.6084656084656085,230.0,18,300000
409.0,0.628361858190709,257.0,18,310000
386.0,0.6113989637305699,236.0,18,320000
397.0,0.6070528967254408,241.0,18,330000
384.0,0.6354166666666666,244.0,18,340000
301.0,0.6079734219269103,183.0,18,350000
311.0,0.6012861736334405,187.0,18,360000
384.0,0.6171875,237.0,18,370000
373.0,0.5871313672922251,219.0,18,380000
364.0,0.554945054945055,202.0,18,390000
392.0,0.5841836734693877,229.0,18,400000
